prot1,prot2,distance
2,29,0.9539227895392279
2,30,0.9528662420382166
2,31,0.9494310998735778
2,32,0.9029850746268657
2,33,0.9396984924623115
2,34,1.0194647201946472
2,35,0.9817518248175182
2,36,0.956359102244389
2,37,0.9591584158415841
2,38,0.9789603960396039
2,39,0.9495472186287193
2,40,0.9723889555822329
2,41,0.9881936245572609
2,42,0.9694117647058823
2,43,0.914004914004914
2,44,0.9021601016518425
2,45,0.8352941176470589
2,46,0.9171741778319122
2,47,0.9555273189326556
2,48,0.8602150537634409
2,49,0.8780487804878049
2,50,0.8638239339752407
2,51,0.976010101010101
2,52,0.8386167146974064
2,53,0.9250985545335085
2,54,0.7923976608187134
2,55,0.8165007112375533
2,56,1.0318237454100367
2,57,0.9285714285714286
2,58,1.0
2,59,0.9732484076433121
2,60,1.047449584816133
2,61,0.9485294117647058
2,62,0.9785353535353536
2,63,0.9465174129353234
2,64,0.9789473684210527
2,65,0.9295261239368166
2,66,0.9668304668304668
2,67,1.0186697782963827
2,68,1.044848484848485
2,69,0.8438395415472779
2,70,0.8994490358126722
2,71,0.9158878504672897
2,72,0.9450980392156862
2,73,0.9225806451612903
2,74,0.9329268292682926
2,75,0.8501259445843828
2,76,0.8964646464646464
2,77,0.9800936768149883
2,78,1.0048840048840049
2,79,1.0616279069767443
2,80,0.9810201660735468
2,81,0.9467956469165659
2,82,0.9476190476190476
2,83,0.9490521327014219
2,84,0.8657465495608532
2,85,0.9163449163449163
2,86,0.9182630906768838
2,87,1.045086705202312
2,88,0.9892857142857143
2,89,0.8169582772543742
2,90,0.9963369963369964
2,91,1.0012091898428053
2,92,0.8818061088977424
2,93,0.8948655256723717
2,94,0.9232673267326733
2,95,0.8917910447761194
2,96,0.8980392156862745
2,97,1.0293398533007334
2,98,1.0012376237623761
2,99,0.926060606060606
3,0,0.7484957882069796
3,1,0.5607701564380265
3,2,0.35414165666266506
3,4,0.3521790341578327
3,5,0.5803048065650644
3,6,0.7430972388955582
3,7,0.8904933814681107
3,8,0.9439809296781884
3,9,0.9622641509433962
3,10,0.9457547169811321
3,11,0.957124842370744
3,12,0.9739776951672863
3,13,0.9292929292929293
3,14,0.965
3,15,1.0186335403726707
3,16,0.9597989949748744
3,17,0.8689384010484928
3,18,0.965865992414665
3,19,0.978343949044586
3,20,0.9247027741083224
3,21,0.8910081743869209
3,22,0.9565789473684211
3,23,0.8657342657342657
3,24,0.98828125
3,25,0.8945205479452055
3,26,0.939622641509434
3,27,0.9553805774278216
3,28,0.9877149877149877
3,29,0.9419191919191919
3,30,0.9470284237726099
3,31,0.8900523560209423
3,32,0.8925410872313527
3,33,0.8169582772543742
3,34,0.9516129032258065
3,35,0.9669926650366748
3,36,0.9551282051282052
3,37,0.998766954377312
3,38,0.9778051787916153
3,39,1.0381773399014778
3,40,1.0212765957446808
3,41,0.9904648390941597
3,42,1.0154028436018958
3,43,0.925700365408039
3,44,0.9461538461538461
3,45,1.023370233702337
3,46,0.9382566585956417
3,47,0.967948717948718
3,48,0.9066666666666666
3,49,0.8844155844155844
3,50,0.9186046511627907
3,51,0.8678756476683938
3,52,0.8371428571428572
3,53,0.8705882352941177
3,54,0.8530259365994236
3,55,0.8168604651162791
3,56,0.8896276595744681
3,57,0.9086294416243654
3,58,0.9936788874841972
3,59,0.8897849462365591
3,60,0.9610062893081761
3,61,0.9556354916067147
3,62,1.0047225501770956
3,63,0.9628712871287128
3,64,0.9313253012048193
3,65,0.9280397022332506
3,66,0.973715651135006
3,67,1.0229621125143513
3,68,1.0649350649350648
3,69,0.9439374185136897
3,70,0.91005291005291
3,71,0.9128065395095368
3,72,0.9315789473684211
3,73,0.928476821192053
3,74,1.0372960372960374
3,75,1.0289156626506024
3,76,0.9740740740740741
3,77,0.9580246913580247
3,78,1.0360144057623049
3,79,0.9692307692307692
3,80,0.9369482976040353
3,81,0.9454094292803971
3,82,0.904126213592233
3,83,1.0283768444948922
3,84,0.9645909645909646
3,85,0.9249061326658323
3,86,0.9476372924648787
3,87,0.9118421052631579
3,88,0.9196988707653702
3,89,0.9144254278728606
3,90,0.9516129032258065
3,91,0.8913612565445026
3,92,0.9291044776119403
3,93,0.9535452322738386
3,94,0.9656019656019657
3,95,1.0335648148148149
3,96,0.9166666666666666
3,97,0.8982826948480845
3,98,0.921957671957672
3,99,0.9384236453201971
4,0,0.9481743227326266
4,1,0.7762073027090695
4,2,0.5771495877502945
4,3,0.3521790341578327
4,5,0.33997655334114885
4,6,0.5559481743227326
4,7,0.7809187279151943
4,8,0.8629320619785459
4,9,0.9461988304093567
4,10,0.9237089201877934
4,11,0.9372693726937269
4,12,0.9460122699386503
4,13,1.0182926829268293
4,14,0.8677462887989204
4,15,0.9272727272727272
4,16,1.0
4,17,0.9435382685069009
4,18,0.998769987699877
4,19,0.959493670886076
4,20,0.9820971867007673
4,21,0.9201623815967523
4,22,0.9496221662468514
4,23,0.8650472334682862
4,24,0.9239842726081258
4,25,0.928927680798005
4,26,0.9378048780487804
4,27,0.9146666666666666
4,28,0.9272503082614056
4,29,0.9053549190535491
4,30,0.9901234567901235
4,31,0.9503267973856209
4,32,0.9556886227544911
4,33,0.9489144316730523
4,34,0.9275730622617535
4,35,0.8886010362694301
4,36,0.9567430025445293
4,37,1.0024271844660195
4,38,0.92336217552534
4,39,0.9575289575289575
4,40,0.9206762028608583
4,41,1.0153664302600474
4,42,0.9430992736077481
4,43,0.9826789838337182
4,44,0.9297365119196989
4,45,0.9189526184538653
4,46,0.9659781287970839
4,47,0.8818181818181818
4,48,0.9472329472329473
4,49,0.889873417721519
4,50,0.935064935064935
4,51,0.9090909090909091
4,52,0.8650904033379694
4,53,0.8238636363636364
4,54,0.8288920056100981
4,55,0.7966101694915254
4,56,0.8484419263456091
4,57,0.9458064516129032
4,58,0.978021978021978
4,59,1.0097087378640777
4,60,0.978562421185372
4,61,0.9926650366748166
4,62,0.9720873786407767
